"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1999","82 years","Both sexes","Number","11190"
"Population estimates from 1926","1999","82 years","Male","Number","4168"
"Population estimates from 1926","1999","82 years","Female","Number","7022"
"Population estimates from 1926","1999","83 years","Both sexes","Number","9639"
"Population estimates from 1926","1999","83 years","Male","Number","3608"
"Population estimates from 1926","1999","83 years","Female","Number","6031"
"Population estimates from 1926","1999","84 years","Both sexes","Number","9315"
"Population estimates from 1926","1999","84 years","Male","Number","3204"
"Population estimates from 1926","1999","84 years","Female","Number","6111"
"Population estimates from 1926","1999","85 years","Both sexes","Number","7735"
"Population estimates from 1926","1999","85 years","Male","Number","2572"
"Population estimates from 1926","1999","85 years","Female","Number","5163"
"Population estimates from 1926","1999","86 years","Both sexes","Number","6739"
"Population estimates from 1926","1999","86 years","Male","Number","2199"
"Population estimates from 1926","1999","86 years","Female","Number","4540"
"Population estimates from 1926","1999","87 years","Both sexes","Number","5751"
"Population estimates from 1926","1999","87 years","Male","Number","1963"
"Population estimates from 1926","1999","87 years","Female","Number","3788"
"Population estimates from 1926","1999","88 years","Both sexes","Number","4568"
"Population estimates from 1926","1999","88 years","Male","Number","1379"
"Population estimates from 1926","1999","88 years","Female","Number","3189"
"Population estimates from 1926","1999","89 years","Both sexes","Number","3829"
"Population estimates from 1926","1999","89 years","Male","Number","1209"
"Population estimates from 1926","1999","89 years","Female","Number","2620"
"Population estimates from 1926","1999","90 years","Both sexes","Number","2663"
"Population estimates from 1926","1999","90 years","Male","Number","677"
"Population estimates from 1926","1999","90 years","Female","Number","1986"
"Population estimates from 1926","1999","91 years","Both sexes","Number","1903"
"Population estimates from 1926","1999","91 years","Male","Number","525"
"Population estimates from 1926","1999","91 years","Female","Number","1378"
"Population estimates from 1926","1999","92 years","Both sexes","Number","1399"
"Population estimates from 1926","1999","92 years","Male","Number","263"
"Population estimates from 1926","1999","92 years","Female","Number","1136"
"Population estimates from 1926","1999","93 years","Both sexes","Number","1140"
"Population estimates from 1926","1999","93 years","Male","Number","275"
"Population estimates from 1926","1999","93 years","Female","Number","865"
"Population estimates from 1926","1999","94 years","Both sexes","Number","986"
"Population estimates from 1926","1999","94 years","Male","Number","237"
"Population estimates from 1926","1999","94 years","Female","Number","749"
"Population estimates from 1926","1999","95 years","Both sexes","Number","578"
"Population estimates from 1926","1999","95 years","Male","Number","94"
"Population estimates from 1926","1999","95 years","Female","Number","484"
"Population estimates from 1926","1999","96 years","Both sexes","Number","440"
"Population estimates from 1926","1999","96 years","Male","Number","52"
"Population estimates from 1926","1999","96 years","Female","Number","388"
"Population estimates from 1926","1999","97 years","Both sexes","Number","204"
"Population estimates from 1926","1999","97 years","Male","Number","18"
"Population estimates from 1926","1999","97 years","Female","Number","186"
"Population estimates from 1926","1999","98 years","Both sexes","Number","198"
"Population estimates from 1926","1999","98 years","Male","Number","27"
"Population estimates from 1926","1999","98 years","Female","Number","171"
"Population estimates from 1926","1999","99 years and over","Both sexes","Number","180"
"Population estimates from 1926","1999","99 years and over","Male","Number","45"
"Population estimates from 1926","1999","99 years and over","Female","Number","135"
"Population estimates from 1926","2000","All ages","Both sexes","Number","3789536"
"Population estimates from 1926","2000","All ages","Male","Number","1882946"
"Population estimates from 1926","2000","All ages","Female","Number","1906590"
"Population estimates from 1926","2000","Under 1 year","Both sexes","Number","53631"
"Population estimates from 1926","2000","Under 1 year","Male","Number","27633"
"Population estimates from 1926","2000","Under 1 year","Female","Number","25998"
"Population estimates from 1926","2000","1 year","Both sexes","Number","53992"
"Population estimates from 1926","2000","1 year","Male","Number","27801"
"Population estimates from 1926","2000","1 year","Female","Number","26191"
"Population estimates from 1926","2000","2 years","Both sexes","Number","54389"
"Population estimates from 1926","2000","2 years","Male","Number","27886"
"Population estimates from 1926","2000","2 years","Female","Number","26503"
"Population estimates from 1926","2000","3 years","Both sexes","Number","52905"
"Population estimates from 1926","2000","3 years","Male","Number","27347"
"Population estimates from 1926","2000","3 years","Female","Number","25558"
"Population estimates from 1926","2000","4 years","Both sexes","Number","51243"
"Population estimates from 1926","2000","4 years","Male","Number","26546"
"Population estimates from 1926","2000","4 years","Female","Number","24697"
"Population estimates from 1926","2000","5 years","Both sexes","Number","51185"
"Population estimates from 1926","2000","5 years","Male","Number","26346"
"Population estimates from 1926","2000","5 years","Female","Number","24839"
"Population estimates from 1926","2000","6 years","Both sexes","Number","51394"
"Population estimates from 1926","2000","6 years","Male","Number","26390"
"Population estimates from 1926","2000","6 years","Female","Number","25004"
"Population estimates from 1926","2000","7 years","Both sexes","Number","53040"
"Population estimates from 1926","2000","7 years","Male","Number","27164"
"Population estimates from 1926","2000","7 years","Female","Number","25876"
"Population estimates from 1926","2000","8 years","Both sexes","Number","54353"
"Population estimates from 1926","2000","8 years","Male","Number","27423"
"Population estimates from 1926","2000","8 years","Female","Number","26930"
"Population estimates from 1926","2000","9 years","Both sexes","Number","56730"
"Population estimates from 1926","2000","9 years","Male","Number","29307"
"Population estimates from 1926","2000","9 years","Female","Number","27423"
"Population estimates from 1926","2000","10 years","Both sexes","Number","56577"
"Population estimates from 1926","2000","10 years","Male","Number","29003"
"Population estimates from 1926","2000","10 years","Female","Number","27574"
"Population estimates from 1926","2000","11 years","Both sexes","Number","56451"
"Population estimates from 1926","2000","11 years","Male","Number","28870"
"Population estimates from 1926","2000","11 years","Female","Number","27581"
"Population estimates from 1926","2000","12 years","Both sexes","Number","57873"
"Population estimates from 1926","2000","12 years","Male","Number","29377"
"Population estimates from 1926","2000","12 years","Female","Number","28496"
"Population estimates from 1926","2000","13 years","Both sexes","Number","61226"
"Population estimates from 1926","2000","13 years","Male","Number","31619"
"Population estimates from 1926","2000","13 years","Female","Number","29607"
"Population estimates from 1926","2000","14 years","Both sexes","Number","63012"
"Population estimates from 1926","2000","14 years","Male","Number","32438"
"Population estimates from 1926","2000","14 years","Female","Number","30574"
"Population estimates from 1926","2000","15 years","Both sexes","Number","62450"
"Population estimates from 1926","2000","15 years","Male","Number","32152"
"Population estimates from 1926","2000","15 years","Female","Number","30298"
"Population estimates from 1926","2000","16 years","Both sexes","Number","64568"
"Population estimates from 1926","2000","16 years","Male","Number","32899"
"Population estimates from 1926","2000","16 years","Female","Number","31669"
"Population estimates from 1926","2000","17 years","Both sexes","Number","68476"
"Population estimates from 1926","2000","17 years","Male","Number","35283"
"Population estimates from 1926","2000","17 years","Female","Number","33193"
"Population estimates from 1926","2000","18 years","Both sexes","Number","67296"
"Population estimates from 1926","2000","18 years","Male","Number","34440"
"Population estimates from 1926","2000","18 years","Female","Number","32856"
"Population estimates from 1926","2000","19 years","Both sexes","Number","66582"
"Population estimates from 1926","2000","19 years","Male","Number","34089"
"Population estimates from 1926","2000","19 years","Female","Number","32493"
"Population estimates from 1926","2000","20 years","Both sexes","Number","67905"
"Population estimates from 1926","2000","20 years","Male","Number","34384"
"Population estimates from 1926","2000","20 years","Female","Number","33521"
"Population estimates from 1926","2000","21 years","Both sexes","Number","64395"
"Population estimates from 1926","2000","21 years","Male","Number","31800"
"Population estimates from 1926","2000","21 years","Female","Number","32595"
"Population estimates from 1926","2000","22 years","Both sexes","Number","60111"
"Population estimates from 1926","2000","22 years","Male","Number","30503"
"Population estimates from 1926","2000","22 years","Female","Number","29608"
"Population estimates from 1926","2000","23 years","Both sexes","Number","58410"
"Population estimates from 1926","2000","23 years","Male","Number","30376"
"Population estimates from 1926","2000","23 years","Female","Number","28034"
"Population estimates from 1926","2000","24 years","Both sexes","Number","61039"
"Population estimates from 1926","2000","24 years","Male","Number","30338"
"Population estimates from 1926","2000","24 years","Female","Number","30701"
"Population estimates from 1926","2000","25 years","Both sexes","Number","59986"
"Population estimates from 1926","2000","25 years","Male","Number","30848"
"Population estimates from 1926","2000","25 years","Female","Number","29138"
"Population estimates from 1926","2000","26 years","Both sexes","Number","55765"
"Population estimates from 1926","2000","26 years","Male","Number","28266"
"Population estimates from 1926","2000","26 years","Female","Number","27499"
"Population estimates from 1926","2000","27 years","Both sexes","Number","57998"
"Population estimates from 1926","2000","27 years","Male","Number","28854"
"Population estimates from 1926","2000","27 years","Female","Number","29144"
"Population estimates from 1926","2000","28 years","Both sexes","Number","57853"
"Population estimates from 1926","2000","28 years","Male","Number","28805"
"Population estimates from 1926","2000","28 years","Female","Number","29048"
"Population estimates from 1926","2000","29 years","Both sexes","Number","57765"
"Population estimates from 1926","2000","29 years","Male","Number","29258"
"Population estimates from 1926","2000","29 years","Female","Number","28507"
"Population estimates from 1926","2000","30 years","Both sexes","Number","55334"
"Population estimates from 1926","2000","30 years","Male","Number","27197"
"Population estimates from 1926","2000","30 years","Female","Number","28137"
"Population estimates from 1926","2000","31 years","Both sexes","Number","55677"
"Population estimates from 1926","2000","31 years","Male","Number","27567"
"Population estimates from 1926","2000","31 years","Female","Number","28110"
"Population estimates from 1926","2000","32 years","Both sexes","Number","54776"
"Population estimates from 1926","2000","32 years","Male","Number","27128"
"Population estimates from 1926","2000","32 years","Female","Number","27648"
"Population estimates from 1926","2000","33 years","Both sexes","Number","54562"
"Population estimates from 1926","2000","33 years","Male","Number","27498"
"Population estimates from 1926","2000","33 years","Female","Number","27064"
"Population estimates from 1926","2000","34 years","Both sexes","Number","57183"
"Population estimates from 1926","2000","34 years","Male","Number","28107"
"Population estimates from 1926","2000","34 years","Female","Number","29076"
"Population estimates from 1926","2000","35 years","Both sexes","Number","57826"
"Population estimates from 1926","2000","35 years","Male","Number","27965"
"Population estimates from 1926","2000","35 years","Female","Number","29861"
"Population estimates from 1926","2000","36 years","Both sexes","Number","56028"
"Population estimates from 1926","2000","36 years","Male","Number","28071"
"Population estimates from 1926","2000","36 years","Female","Number","27957"
"Population estimates from 1926","2000","37 years","Both sexes","Number","56171"
"Population estimates from 1926","2000","37 years","Male","Number","27524"
"Population estimates from 1926","2000","37 years","Female","Number","28647"
"Population estimates from 1926","2000","38 years","Both sexes","Number","54080"
"Population estimates from 1926","2000","38 years","Male","Number","26606"
"Population estimates from 1926","2000","38 years","Female","Number","27474"
"Population estimates from 1926","2000","39 years","Both sexes","Number","56100"
"Population estimates from 1926","2000","39 years","Male","Number","28025"
"Population estimates from 1926","2000","39 years","Female","Number","28075"
"Population estimates from 1926","2000","40 years","Both sexes","Number","54308"
"Population estimates from 1926","2000","40 years","Male","Number","26699"
"Population estimates from 1926","2000","40 years","Female","Number","27609"
"Population estimates from 1926","2000","41 years","Both sexes","Number","51816"
"Population estimates from 1926","2000","41 years","Male","Number","25867"
"Population estimates from 1926","2000","41 years","Female","Number","25949"
"Population estimates from 1926","2000","42 years","Both sexes","Number","51949"
"Population estimates from 1926","2000","42 years","Male","Number","25701"
"Population estimates from 1926","2000","42 years","Female","Number","26248"
"Population estimates from 1926","2000","43 years","Both sexes","Number","52011"
"Population estimates from 1926","2000","43 years","Male","Number","26061"
"Population estimates from 1926","2000","43 years","Female","Number","25950"
"Population estimates from 1926","2000","44 years","Both sexes","Number","50437"
"Population estimates from 1926","2000","44 years","Male","Number","25370"
"Population estimates from 1926","2000","44 years","Female","Number","25067"
"Population estimates from 1926","2000","45 years","Both sexes","Number","49842"
"Population estimates from 1926","2000","45 years","Male","Number","24853"
"Population estimates from 1926","2000","45 years","Female","Number","24989"
"Population estimates from 1926","2000","46 years","Both sexes","Number","47876"
"Population estimates from 1926","2000","46 years","Male","Number","23662"
"Population estimates from 1926","2000","46 years","Female","Number","24214"
"Population estimates from 1926","2000","47 years","Both sexes","Number","49288"
"Population estimates from 1926","2000","47 years","Male","Number","24862"
"Population estimates from 1926","2000","47 years","Female","Number","24426"
"Population estimates from 1926","2000","48 years","Both sexes","Number","46295"
"Population estimates from 1926","2000","48 years","Male","Number","23572"
"Population estimates from 1926","2000","48 years","Female","Number","22723"
"Population estimates from 1926","2000","49 years","Both sexes","Number","45795"
"Population estimates from 1926","2000","49 years","Male","Number","22887"
"Population estimates from 1926","2000","49 years","Female","Number","22908"
"Population estimates from 1926","2000","50 years","Both sexes","Number","46311"
"Population estimates from 1926","2000","50 years","Male","Number","22978"
"Population estimates from 1926","2000","50 years","Female","Number","23333"
"Population estimates from 1926","2000","51 years","Both sexes","Number","46327"
"Population estimates from 1926","2000","51 years","Male","Number","23463"
"Population estimates from 1926","2000","51 years","Female","Number","22864"
"Population estimates from 1926","2000","52 years","Both sexes","Number","45257"
"Population estimates from 1926","2000","52 years","Male","Number","22944"
"Population estimates from 1926","2000","52 years","Female","Number","22313"
"Population estimates from 1926","2000","53 years","Both sexes","Number","43931"
"Population estimates from 1926","2000","53 years","Male","Number","22744"
"Population estimates from 1926","2000","53 years","Female","Number","21187"
"Population estimates from 1926","2000","54 years","Both sexes","Number","43128"
"Population estimates from 1926","2000","54 years","Male","Number","21980"
"Population estimates from 1926","2000","54 years","Female","Number","21148"
"Population estimates from 1926","2000","55 years","Both sexes","Number","38330"
"Population estimates from 1926","2000","55 years","Male","Number","19095"
"Population estimates from 1926","2000","55 years","Female","Number","19235"
"Population estimates from 1926","2000","56 years","Both sexes","Number","36365"
"Population estimates from 1926","2000","56 years","Male","Number","18546"
"Population estimates from 1926","2000","56 years","Female","Number","17819"
"Population estimates from 1926","2000","57 years","Both sexes","Number","35891"
"Population estimates from 1926","2000","57 years","Male","Number","18078"
"Population estimates from 1926","2000","57 years","Female","Number","17813"
"Population estimates from 1926","2000","58 years","Both sexes","Number","32577"
"Population estimates from 1926","2000","58 years","Male","Number","16710"
"Population estimates from 1926","2000","58 years","Female","Number","15867"
"Population estimates from 1926","2000","59 years","Both sexes","Number","31089"
"Population estimates from 1926","2000","59 years","Male","Number","15742"
"Population estimates from 1926","2000","59 years","Female","Number","15347"
"Population estimates from 1926","2000","60 years","Both sexes","Number","31980"
"Population estimates from 1926","2000","60 years","Male","Number","16038"
"Population estimates from 1926","2000","60 years","Female","Number","15942"
"Population estimates from 1926","2000","61 years","Both sexes","Number","31121"
"Population estimates from 1926","2000","61 years","Male","Number","15821"
"Population estimates from 1926","2000","61 years","Female","Number","15300"
"Population estimates from 1926","2000","62 years","Both sexes","Number","28673"
"Population estimates from 1926","2000","62 years","Male","Number","14344"
"Population estimates from 1926","2000","62 years","Female","Number","14329"
"Population estimates from 1926","2000","63 years","Both sexes","Number","29276"
"Population estimates from 1926","2000","63 years","Male","Number","14413"
"Population estimates from 1926","2000","63 years","Female","Number","14863"
"Population estimates from 1926","2000","64 years","Both sexes","Number","28640"
"Population estimates from 1926","2000","64 years","Male","Number","14161"
"Population estimates from 1926","2000","64 years","Female","Number","14479"
"Population estimates from 1926","2000","65 years","Both sexes","Number","26819"
"Population estimates from 1926","2000","65 years","Male","Number","13157"
"Population estimates from 1926","2000","65 years","Female","Number","13662"
"Population estimates from 1926","2000","66 years","Both sexes","Number","26212"
"Population estimates from 1926","2000","66 years","Male","Number","13044"
"Population estimates from 1926","2000","66 years","Female","Number","13168"
"Population estimates from 1926","2000","67 years","Both sexes","Number","26169"
"Population estimates from 1926","2000","67 years","Male","Number","12819"
"Population estimates from 1926","2000","67 years","Female","Number","13350"
"Population estimates from 1926","2000","68 years","Both sexes","Number","25093"
"Population estimates from 1926","2000","68 years","Male","Number","12129"
"Population estimates from 1926","2000","68 years","Female","Number","12964"
"Population estimates from 1926","2000","69 years","Both sexes","Number","24997"
"Population estimates from 1926","2000","69 years","Male","Number","12110"
"Population estimates from 1926","2000","69 years","Female","Number","12887"
"Population estimates from 1926","2000","70 years","Both sexes","Number","24177"
"Population estimates from 1926","2000","70 years","Male","Number","11450"
"Population estimates from 1926","2000","70 years","Female","Number","12727"
"Population estimates from 1926","2000","71 years","Both sexes","Number","22919"
"Population estimates from 1926","2000","71 years","Male","Number","10638"
"Population estimates from 1926","2000","71 years","Female","Number","12281"
"Population estimates from 1926","2000","72 years","Both sexes","Number","21675"
"Population estimates from 1926","2000","72 years","Male","Number","9518"
"Population estimates from 1926","2000","72 years","Female","Number","12157"
"Population estimates from 1926","2000","73 years","Both sexes","Number","21557"
"Population estimates from 1926","2000","73 years","Male","Number","9452"
"Population estimates from 1926","2000","73 years","Female","Number","12105"
"Population estimates from 1926","2000","74 years","Both sexes","Number","20990"
"Population estimates from 1926","2000","74 years","Male","Number","9210"
"Population estimates from 1926","2000","74 years","Female","Number","11780"
"Population estimates from 1926","2000","75 years","Both sexes","Number","19772"
"Population estimates from 1926","2000","75 years","Male","Number","8470"
"Population estimates from 1926","2000","75 years","Female","Number","11302"
"Population estimates from 1926","2000","76 years","Both sexes","Number","18720"
"Population estimates from 1926","2000","76 years","Male","Number","7904"
"Population estimates from 1926","2000","76 years","Female","Number","10816"
"Population estimates from 1926","2000","77 years","Both sexes","Number","18319"
"Population estimates from 1926","2000","77 years","Male","Number","7432"
"Population estimates from 1926","2000","77 years","Female","Number","10887"
"Population estimates from 1926","2000","78 years","Both sexes","Number","16311"
"Population estimates from 1926","2000","78 years","Male","Number","6644"
"Population estimates from 1926","2000","78 years","Female","Number","9667"
"Population estimates from 1926","2000","79 years","Both sexes","Number","15768"
"Population estimates from 1926","2000","79 years","Male","Number","6451"
"Population estimates from 1926","2000","79 years","Female","Number","9317"
"Population estimates from 1926","2000","80 years","Both sexes","Number","14526"
"Population estimates from 1926","2000","80 years","Male","Number","5747"
"Population estimates from 1926","2000","80 years","Female","Number","8779"
"Population estimates from 1926","2000","81 years","Both sexes","Number","12533"
"Population estimates from 1926","2000","81 years","Male","Number","4698"
"Population estimates from 1926","2000","81 years","Female","Number","7835"
"Population estimates from 1926","2000","82 years","Both sexes","Number","9747"
"Population estimates from 1926","2000","82 years","Male","Number","3623"
"Population estimates from 1926","2000","82 years","Female","Number","6124"
"Population estimates from 1926","2000","83 years","Both sexes","Number","10032"
"Population estimates from 1926","2000","83 years","Male","Number","3678"
"Population estimates from 1926","2000","83 years","Female","Number","6354"
"Population estimates from 1926","2000","84 years","Both sexes","Number","8998"
"Population estimates from 1926","2000","84 years","Male","Number","3266"
"Population estimates from 1926","2000","84 years","Female","Number","5732"
"Population estimates from 1926","2000","85 years","Both sexes","Number","7814"
"Population estimates from 1926","2000","85 years","Male","Number","2572"
"Population estimates from 1926","2000","85 years","Female","Number","5242"
"Population estimates from 1926","2000","86 years","Both sexes","Number","6838"
"Population estimates from 1926","2000","86 years","Male","Number","2200"
"Population estimates from 1926","2000","86 years","Female","Number","4638"
"Population estimates from 1926","2000","87 years","Both sexes","Number","5784"
"Population estimates from 1926","2000","87 years","Male","Number","1823"
"Population estimates from 1926","2000","87 years","Female","Number","3961"
"Population estimates from 1926","2000","88 years","Both sexes","Number","4680"
"Population estimates from 1926","2000","88 years","Male","Number","1510"
"Population estimates from 1926","2000","88 years","Female","Number","3170"
"Population estimates from 1926","2000","89 years","Both sexes","Number","3799"
"Population estimates from 1926","2000","89 years","Male","Number","1157"
"Population estimates from 1926","2000","89 years","Female","Number","2642"
"Population estimates from 1926","2000","90 years","Both sexes","Number","3093"
"Population estimates from 1926","2000","90 years","Male","Number","825"
"Population estimates from 1926","2000","90 years","Female","Number","2268"
"Population estimates from 1926","2000","91 years","Both sexes","Number","2155"
"Population estimates from 1926","2000","91 years","Male","Number","558"
"Population estimates from 1926","2000","91 years","Female","Number","1597"
"Population estimates from 1926","2000","92 years","Both sexes","Number","1272"
"Population estimates from 1926","2000","92 years","Male","Number","327"
"Population estimates from 1926","2000","92 years","Female","Number","945"
"Population estimates from 1926","2000","93 years","Both sexes","Number","1136"
"Population estimates from 1926","2000","93 years","Male","Number","233"
"Population estimates from 1926","2000","93 years","Female","Number","903"
"Population estimates from 1926","2000","94 years","Both sexes","Number","973"
"Population estimates from 1926","2000","94 years","Male","Number","200"
"Population estimates from 1926","2000","94 years","Female","Number","773"
"Population estimates from 1926","2000","95 years","Both sexes","Number","693"
"Population estimates from 1926","2000","95 years","Male","Number","200"
"Population estimates from 1926","2000","95 years","Female","Number","493"
"Population estimates from 1926","2000","96 years","Both sexes","Number","375"
"Population estimates from 1926","2000","96 years","Male","Number","17"
"Population estimates from 1926","2000","96 years","Female","Number","358"
"Population estimates from 1926","2000","97 years","Both sexes","Number","350"
"Population estimates from 1926","2000","97 years","Male","Number","69"
"Population estimates from 1926","2000","97 years","Female","Number","281"
"Population estimates from 1926","2000","98 years","Both sexes","Number","173"
"Population estimates from 1926","2000","98 years","Male","Number","54"
"Population estimates from 1926","2000","98 years","Female","Number","119"
"Population estimates from 1926","2000","99 years and over","Both sexes","Number","217"
"Population estimates from 1926","2000","99 years and over","Male","Number","37"
"Population estimates from 1926","2000","99 years and over","Female","Number","180"
"Population estimates from 1926","2001","All ages","Both sexes","Number","3847198"
"Population estimates from 1926","2001","All ages","Male","Number","1913128"
"Population estimates from 1926","2001","All ages","Female","Number","1934070"
"Population estimates from 1926","2001","Under 1 year","Both sexes","Number","55085"
"Population estimates from 1926","2001","Under 1 year","Male","Number","28427"
"Population estimates from 1926","2001","Under 1 year","Female","Number","26658"
"Population estimates from 1926","2001","1 year","Both sexes","Number","54323"
"Population estimates from 1926","2001","1 year","Male","Number","27879"
"Population estimates from 1926","2001","1 year","Female","Number","26444"
"Population estimates from 1926","2001","2 years","Both sexes","Number","55448"
"Population estimates from 1926","2001","2 years","Male","Number","28332"
"Population estimates from 1926","2001","2 years","Female","Number","27116"
"Population estimates from 1926","2001","3 years","Both sexes","Number","55621"
"Population estimates from 1926","2001","3 years","Male","Number","28632"
"Population estimates from 1926","2001","3 years","Female","Number","26989"
"Population estimates from 1926","2001","4 years","Both sexes","Number","52747"
"Population estimates from 1926","2001","4 years","Male","Number","27167"
"Population estimates from 1926","2001","4 years","Female","Number","25580"
"Population estimates from 1926","2001","5 years","Both sexes","Number","53028"
"Population estimates from 1926","2001","5 years","Male","Number","27619"
"Population estimates from 1926","2001","5 years","Female","Number","25409"
"Population estimates from 1926","2001","6 years","Both sexes","Number","50707"
"Population estimates from 1926","2001","6 years","Male","Number","25906"
"Population estimates from 1926","2001","6 years","Female","Number","24801"
"Population estimates from 1926","2001","7 years","Both sexes","Number","52469"
"Population estimates from 1926","2001","7 years","Male","Number","27127"
"Population estimates from 1926","2001","7 years","Female","Number","25342"
"Population estimates from 1926","2001","8 years","Both sexes","Number","52358"
"Population estimates from 1926","2001","8 years","Male","Number","26589"
"Population estimates from 1926","2001","8 years","Female","Number","25769"
"Population estimates from 1926","2001","9 years","Both sexes","Number","55155"
"Population estimates from 1926","2001","9 years","Male","Number","28236"
"Population estimates from 1926","2001","9 years","Female","Number","26919"
"Population estimates from 1926","2001","10 years","Both sexes","Number","56988"
"Population estimates from 1926","2001","10 years","Male","Number","29343"
"Population estimates from 1926","2001","10 years","Female","Number","27645"
"Population estimates from 1926","2001","11 years","Both sexes","Number","56922"
"Population estimates from 1926","2001","11 years","Male","Number","29159"
"Population estimates from 1926","2001","11 years","Female","Number","27763"
"Population estimates from 1926","2001","12 years","Both sexes","Number","56266"
"Population estimates from 1926","2001","12 years","Male","Number","28715"
"Population estimates from 1926","2001","12 years","Female","Number","27551"
"Population estimates from 1926","2001","13 years","Both sexes","Number","58223"
"Population estimates from 1926","2001","13 years","Male","Number","29571"
"Population estimates from 1926","2001","13 years","Female","Number","28652"
"Population estimates from 1926","2001","14 years","Both sexes","Number","62205"
"Population estimates from 1926","2001","14 years","Male","Number","32244"
"Population estimates from 1926","2001","14 years","Female","Number","29961"
"Population estimates from 1926","2001","15 years","Both sexes","Number","61998"
"Population estimates from 1926","2001","15 years","Male","Number","31752"
"Population estimates from 1926","2001","15 years","Female","Number","30246"
"Population estimates from 1926","2001","16 years","Both sexes","Number","62036"
"Population estimates from 1926","2001","16 years","Male","Number","31838"
"Population estimates from 1926","2001","16 years","Female","Number","30198"
"Population estimates from 1926","2001","17 years","Both sexes","Number","65153"
"Population estimates from 1926","2001","17 years","Male","Number","33513"
"Population estimates from 1926","2001","17 years","Female","Number","31640"
"Population estimates from 1926","2001","18 years","Both sexes","Number","65685"
"Population estimates from 1926","2001","18 years","Male","Number","33737"
"Population estimates from 1926","2001","18 years","Female","Number","31948"
"Population estimates from 1926","2001","19 years","Both sexes","Number","65545"
"Population estimates from 1926","2001","19 years","Male","Number","33412"
"Population estimates from 1926","2001","19 years","Female","Number","32133"
"Population estimates from 1926","2001","20 years","Both sexes","Number","67597"
"Population estimates from 1926","2001","20 years","Male","Number","33761"
"Population estimates from 1926","2001","20 years","Female","Number","33836"
"Population estimates from 1926","2001","21 years","Both sexes","Number","68057"
"Population estimates from 1926","2001","21 years","Male","Number","35123"
"Population estimates from 1926","2001","21 years","Female","Number","32934"
"Population estimates from 1926","2001","22 years","Both sexes","Number","62704"
"Population estimates from 1926","2001","22 years","Male","Number","30460"
"Population estimates from 1926","2001","22 years","Female","Number","32244"
"Population estimates from 1926","2001","23 years","Both sexes","Number","59935"
"Population estimates from 1926","2001","23 years","Male","Number","31148"
"Population estimates from 1926","2001","23 years","Female","Number","28787"
"Population estimates from 1926","2001","24 years","Both sexes","Number","59289"
"Population estimates from 1926","2001","24 years","Male","Number","30008"
"Population estimates from 1926","2001","24 years","Female","Number","29281"
"Population estimates from 1926","2001","25 years","Both sexes","Number","62906"
"Population estimates from 1926","2001","25 years","Male","Number","31367"
"Population estimates from 1926","2001","25 years","Female","Number","31539"
"Population estimates from 1926","2001","26 years","Both sexes","Number","57869"
"Population estimates from 1926","2001","26 years","Male","Number","29944"
"Population estimates from 1926","2001","26 years","Female","Number","27925"
"Population estimates from 1926","2001","27 years","Both sexes","Number","58805"
"Population estimates from 1926","2001","27 years","Male","Number","28804"
"Population estimates from 1926","2001","27 years","Female","Number","30001"
"Population estimates from 1926","2001","28 years","Both sexes","Number","60665"
"Population estimates from 1926","2001","28 years","Male","Number","30410"
"Population estimates from 1926","2001","28 years","Female","Number","30255"
"Population estimates from 1926","2001","29 years","Both sexes","Number","60586"
"Population estimates from 1926","2001","29 years","Male","Number","30656"
"Population estimates from 1926","2001","29 years","Female","Number","29930"
"Population estimates from 1926","2001","30 years","Both sexes","Number","59499"
"Population estimates from 1926","2001","30 years","Male","Number","29871"
"Population estimates from 1926","2001","30 years","Female","Number","29628"
"Population estimates from 1926","2001","31 years","Both sexes","Number","58223"
"Population estimates from 1926","2001","31 years","Male","Number","28707"
"Population estimates from 1926","2001","31 years","Female","Number","29516"
"Population estimates from 1926","2001","32 years","Both sexes","Number","58459"
"Population estimates from 1926","2001","32 years","Male","Number","29023"
"Population estimates from 1926","2001","32 years","Female","Number","29436"
"Population estimates from 1926","2001","33 years","Both sexes","Number","55338"
"Population estimates from 1926","2001","33 years","Male","Number","27886"
"Population estimates from 1926","2001","33 years","Female","Number","27452"
"Population estimates from 1926","2001","34 years","Both sexes","Number","57119"
"Population estimates from 1926","2001","34 years","Male","Number","28742"
"Population estimates from 1926","2001","34 years","Female","Number","28377"
"Population estimates from 1926","2001","35 years","Both sexes","Number","58975"
"Population estimates from 1926","2001","35 years","Male","Number","28952"
"Population estimates from 1926","2001","35 years","Female","Number","30023"
"Population estimates from 1926","2001","36 years","Both sexes","Number","57464"
"Population estimates from 1926","2001","36 years","Male","Number","28371"
"Population estimates from 1926","2001","36 years","Female","Number","29093"
"Population estimates from 1926","2001","37 years","Both sexes","Number","57204"
"Population estimates from 1926","2001","37 years","Male","Number","28855"
"Population estimates from 1926","2001","37 years","Female","Number","28349"
"Population estimates from 1926","2001","38 years","Both sexes","Number","56794"
"Population estimates from 1926","2001","38 years","Male","Number","27179"
"Population estimates from 1926","2001","38 years","Female","Number","29615"
"Population estimates from 1926","2001","39 years","Both sexes","Number","54643"
"Population estimates from 1926","2001","39 years","Male","Number","27809"
"Population estimates from 1926","2001","39 years","Female","Number","26834"
"Population estimates from 1926","2001","40 years","Both sexes","Number","56933"
